,url,title,author,author_page,subtitle,claps,responses,reading_time,tag,date
0,https://medium.com/coders-camp/180-data-science-and-machine-learning-projects-with-python-6191bc7b9db9,180 Data Science and Machine Learning Projects with Python,amankharwal,https://medium.com/@amankharwal,180 Data Science and Machine Learning…,1100,4,4,Data Science,2021-01-01
1,https://towardsdatascience.com/7-most-recommended-data-science-skills-to-learn-in-2021-ac26933f0e8a,7 Most Recommended Skills to Learn in 2021 to be a Data Scientist,terenceshin,https://towardsdatascience.com/@terenceshin,Recommended by some of the largest…,1000,10,6,Data Science,2021-01-01
2,https://towardsdatascience.com/implementing-visualttransformer-in-pytorch-184f9f16f632,Implementing VisualTtransformer in PyTorch,FrancescoZ,https://towardsdatascience.com/@FrancescoZ,"Hi guys, happy new year! Today we are going to implement…",257,4,6,Data Science,2021-01-01
3,https://towardsdatascience.com/optimal-threshold-for-imbalanced-classification-5884e870c293,Optimal Threshold for Imbalanced Classification,audhiaprilliant,https://towardsdatascience.com/@audhiaprilliant,How to choose the…,223,3,7,Data Science,2021-01-01
4,https://towardsdatascience.com/understanding-the-confusion-matrix-from-scikit-learn-c51d88929c79,Understanding the Confusion Matrix from Scikit learn,samarthagrawal86,https://towardsdatascience.com/@samarthagrawal86,Clear representation of output of confusion…,190,5,5,Data Science,2021-01-01
5,https://towardsdatascience.com/shakespeare-versus-eminem-1de54e479279,Shakespeare versus Eminem— who’s the better lyricist,jeroenvanzeeland,https://towardsdatascience.com/@jeroenvanzeeland,"He is known for his poetry, his writings on life…",143,3,9,Data Science,2021-01-01
6,https://python.plainenglish.io/python-betting-model-for-six-football-leagues-11b6ccd8cd54,Python Betting Model for Six Football Leagues,liamjhartley,https://python.plainenglish.io/@liamjhartley,"Using statistics, Pandas, BeautifulSoup and AWS to…",108,2,8,Data Science,2021-01-01
7,https://towardsdatascience.com/cifar-100-pre-processing-for-image-recognition-task-68015b43d658,CIFAR-100: Pre-processing for image recognition task,chetnakhanna,https://towardsdatascience.com/@chetnakhanna,Pre-processing or data preparation of a popular…,94,1,8,Data Science,2021-01-01
8,https://towardsdatascience.com/stock-price-analysis-with-pandas-and-altair-ef1e178cc744,Stock Price Analysis with Pandas and Altair,sonery,https://towardsdatascience.com/@sonery,Practical guide for Pandas and Altair,92,0,5,Data Science,2021-01-01
9,https://towardsdatascience.com/project-modeling-predicting-of-churning-customers-in-r-cb0a846ba94a,"<strong class=""markup--strong markup--h3-strong"">Project: Modeling &amp; Predicting of Churning Customers (in R)</strong>",jararzaidi,https://towardsdatascience.com/@jararzaidi,You have just been hired as a Data Scientist,37,0,14,Data Science,2021-01-01
10,https://medium.com/@andre-ye/underspecification-the-dangerously-underdiscussed-problem-facing-machine-learning-4882292c67c1,Underspecification: The Dangerously Underdiscussed Problem Facing Machine Learning,andre-ye,https://medium.com/@andre-ye,,160,0,7,Data Science,2021-01-01
11,https://towardsdatascience.com/cohort-analysis-with-python-2bdf05e36f57,Cohort Analysis with Python,joetrankang,https://towardsdatascience.com/@joetrankang,A data clustering skill that every e-commerce data analyst must master,100,2,5,Data Science,2021-01-01
12,https://towardsdatascience.com/15-lesser-known-useful-sklearn-models-you-should-use-now-a1a566e680a6,15 Lesser-Known Useful SkLearn Models You Should Use Now,emmettgb,https://towardsdatascience.com/@emmettgb,Some of the more interesting models that can…,264,2,16,Data Science,2021-01-01
13,https://towardsdatascience.com/visualize-bert-sequence-embeddings-an-unseen-way-1d6a351e4568,Visualize BERT sequence embeddings: An unseen way,tanmay17061,https://towardsdatascience.com/@tanmay17061,,130,1,6,Data Science,2021-01-01
14,https://towardsdatascience.com/data-science-trends-based-on-4-years-of-kaggle-surveys-60878d68551f,Data Science Trends Based on 4 Years of Kaggle Surveys,daniel.capellupo,https://towardsdatascience.com/@daniel.capellupo,"How have diversity, salaries, and the tools and…",99,1,8,Data Science,2021-01-01
15,https://towardsdatascience.com/how-to-utilize-feature-importance-correctly-1f196b061192,How to utilize Feature Importance correctly,hoanganhquynhnhu,https://towardsdatascience.com/@hoanganhquynhnhu,Feature Importance is a part of ,182,2,5,Data Science,2021-01-01
16,https://towardsdatascience.com/a-skill-to-master-in-python-d6054394e073,How to Slice Sequences in Python,lmatalka90,https://towardsdatascience.com/@lmatalka90,Learn how to slice lists and strings in Python,99,0,12,Data Science,2021-01-01
17,https://towardsdatascience.com/statistical-simulation-in-python-part-2-91f71f474f77,FAANG Ask These 4 Python Simulations in 2021,leihua-ye,https://towardsdatascience.com/@leihua-ye,,25,1,6,Data Science,2021-01-01
